episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
318,240,-6.725,214,0.8525,0.2272,0,78.9
319,70,-4.325,61,0.8521,0.2271,0,79.2
320,250,-2.0,151,0.8517,0.227,0,81.1
321,30,-3.275,33,0.8513,0.227,0,80.7
322,80,-2.6,57,0.8508,0.2269,0,80.5
323,30,-3.875,45,0.8504,0.2268,0,80.2
324,140,-0.125,45,0.85,0.2268,0,81.0
325,230,-2.0,103,0.8496,0.2267,0,83.0
326,100,-3.6,50,0.8491,0.2266,0,83.6
327,30,-2.625,19,0.8487,0.2266,0,83.2
328,80,-3.325,75,0.8483,0.2265,0,83.3
329,180,-5.8,171,0.8479,0.2264,0,84.8
330,30,-2.4,14,0.8474,0.2264,0,84.0
331,40,-3.75,51,0.847,0.2263,0,84.0
332,110,-3.075,83,0.8466,0.2262,0,83.3
333,100,-5.25,91,0.8462,0.2262,0,83.7
334,40,-4.425,60,0.8457,0.2261,0,83.3
335,30,-2.2,9,0.8453,0.226,0,83.2
336,110,-5.425,140,0.8449,0.226,0,83.6
337,190,-2.075,92,0.8445,0.2259,0,85.2
338,50,-5.275,79,0.8441,0.2258,0,84.2
339,240,-1.15,137,0.8436,0.2258,0,85.8
340,40,-2.1,11,0.8432,0.2257,0,85.2
341,60,-3.325,48,0.8428,0.2256,0,85.4
342,30,-2.325,15,0.8424,0.2256,0,84.8
343,150,-5.6,173,0.8419,0.2255,0,85.7
344,120,-4.125,69,0.8415,0.2254,0,84.3
345,110,-3.225,47,0.8411,0.2253,0,85.0
346,60,-6.225,102,0.8407,0.2253,0,85.3
347,60,-2.3,19,0.8403,0.2252,0,84.4
348,60,-3.75,49,0.8398,0.2251,0,84.7
349,230,-4.675,203,0.8394,0.2251,0,86.6
350,100,-6.075,103,0.839,0.225,0,87.2
351,80,-3.525,49,0.8386,0.2249,0,87.6
352,190,-0.675,63,0.8382,0.2249,0,89.2
353,200,-7.05,164,0.8377,0.2248,0,90.6
354,40,-3.825,49,0.8373,0.2247,0,90.7
355,70,-3.7,67,0.8369,0.2247,0,89.4
356,40,-5.475,83,0.8365,0.2246,0,89.4
