Episode 119/2000, Score: 40, Reward: -1.9499999999999975, Avg: 111.5, Actor loss: -5.5305, Critic loss: 9.3637, Total loss: 3.8332
Episode 120/2000, Score: 40, Reward: -1.4499999999999975, Avg: 106.0, Actor loss: -6.2265, Critic loss: 11.9014, Total loss: 5.6749
Episode 121/2000, Score: 240, Reward: 26.84999999999997, Avg: 114.5, Actor loss: 3.4162, Critic loss: 8.1893, Total loss: 11.6055
Episode 122/2000, Score: 30, Reward: -2.25, Avg: 108.0, Actor loss: -4.1904, Critic loss: 6.6654, Total loss: 2.4749
Episode 123/2000, Score: 140, Reward: 13.04999999999999, Avg: 111.0, Actor loss: -2.9693, Critic loss: 3.6580, Total loss: 0.6888
Episode 124/2000, Score: 120, Reward: 8.349999999999989, Avg: 104.0, Actor loss: -4.1633, Critic loss: 5.6138, Total loss: 1.4505
Episode 125/2000, Score: 100, Reward: 7.100000000000001, Avg: 95.0, Actor loss: -5.6457, Critic loss: 10.4602, Total loss: 4.8145
Episode 126/2000, Score: 80, Reward: 4.4, Avg: 87.5, Actor loss: -3.6321, Critic loss: 5.0113, Total loss: 1.3792
Episode 127/2000, Score: 110, Reward: 9.49999999999998, Avg: 89.5, Actor loss: -6.1269, Critic loss: 7.7085, Total loss: 1.5816
Episode 128/2000, Score: 100, Reward: 8.549999999999995, Avg: 93.0, Actor loss: -5.0856, Critic loss: 6.9435, Total loss: 1.8580
Episode 129/2000, Score: 160, Reward: 15.29999999999999, Avg: 95.5, Actor loss: -2.1098, Critic loss: 2.9894, Total loss: 0.8797
Episode 130/2000, Score: 190, Reward: 18.74999999999997, Avg: 100.0, Actor loss: -0.8649, Critic loss: 1.9986, Total loss: 1.1337
Episode 131/2000, Score: 30, Reward: -2.35, Avg: 98.0, Actor loss: -5.8660, Critic loss: 9.9833, Total loss: 4.1173
Episode 132/2000, Score: 30, Reward: -2.25, Avg: 91.0, Actor loss: -5.0116, Critic loss: 9.3311, Total loss: 4.3195
Episode 133/2000, Score: 110, Reward: 8.799999999999992, Avg: 95.0, Actor loss: -2.2336, Critic loss: 2.6129, Total loss: 0.3793
Episode 134/2000, Score: 310, Reward: 36.75, Avg: 107.5, Actor loss: -4.4580, Critic loss: 7.9012, Total loss: 3.4432
Episode 135/2000, Score: 40, Reward: -0.7999999999999998, Avg: 102.5, Actor loss: -4.6760, Critic loss: 6.5523, Total loss: 1.8763
Episode 136/2000, Score: 140, Reward: 12.549999999999997, Avg: 107.5, Actor loss: -5.8473, Critic loss: 11.0706, Total loss: 5.2233
Episode 137/2000, Score: 120, Reward: 10.299999999999995, Avg: 109.5, Actor loss: -0.2037, Critic loss: 6.5333, Total loss: 6.3296
Episode 138/2000, Score: 140, Reward: 12.99999999999999, Avg: 113.5, Actor loss: -0.4260, Critic loss: 4.1612, Total loss: 3.7352
Episode 139/2000, Score: 150, Reward: 14.34999999999999, Avg: 119.0, Actor loss: -2.8018, Critic loss: 3.6298, Total loss: 0.8280
Episode 140/2000, Score: 190, Reward: 21.79999999999999, Avg: 126.5, Actor loss: 2.7869, Critic loss: 18.9085, Total loss: 21.6954
Episode 141/2000, Score: 180, Reward: 17.849999999999987, Avg: 123.5, Actor loss: -1.2310, Critic loss: 3.3146, Total loss: 2.0836
Episode 142/2000, Score: 140, Reward: 14.449999999999985, Avg: 129.0, Actor loss: -0.7299, Critic loss: 3.8674, Total loss: 3.1375
Episode 143/2000, Score: 200, Reward: 21.39999999999998, Avg: 132.0, Actor loss: 1.4770, Critic loss: 5.4655, Total loss: 6.9425
Episode 144/2000, Score: 30, Reward: -2.4499999999999997, Avg: 127.5, Actor loss: -6.6162, Critic loss: 11.3008, Total loss: 4.6847
Episode 145/2000, Score: 40, Reward: 0.40000000000000124, Avg: 124.5, Actor loss: -3.2006, Critic loss: 3.5859, Total loss: 0.3852
Episode 146/2000, Score: 30, Reward: -2.1500000000000004, Avg: 122.0, Actor loss: -4.3115, Critic loss: 9.0936, Total loss: 4.7820
Episode 147/2000, Score: 80, Reward: 4.9499999999999975, Avg: 120.5, Actor loss: -1.0500, Critic loss: 4.8001, Total loss: 3.7501
Episode 148/2000, Score: 70, Reward: 3.599999999999998, Avg: 119.0, Actor loss: -2.2536, Critic loss: 5.1138, Total loss: 2.8601
Episode 149/2000, Score: 40, Reward: -0.8999999999999995, Avg: 113.0, Actor loss: -4.0832, Critic loss: 6.8809, Total loss: 2.7977
Episode 150/2000, Score: 180, Reward: 18.749999999999993, Avg: 112.5, Actor loss: -4.0775, Critic loss: 10.4848, Total loss: 6.4073
Episode 151/2000, Score: 150, Reward: 14.249999999999993, Avg: 118.5, Actor loss: -2.2696, Critic loss: 2.8827, Total loss: 0.6130
Episode 152/2000, Score: 40, Reward: -1.3999999999999977, Avg: 119.0, Actor loss: -3.8827, Critic loss: 10.7790, Total loss: 6.8962
Episode 153/2000, Score: 120, Reward: 10.449999999999996, Avg: 119.5, Actor loss: -3.9330, Critic loss: 8.9279, Total loss: 4.9949
Episode 154/2000, Score: 30, Reward: -1.1499999999999986, Avg: 105.5, Actor loss: -5.4848, Critic loss: 8.3871, Total loss: 2.9023
Episode 155/2000, Score: 30, Reward: -2.349999999999999, Avg: 105.0, Actor loss: -6.5715, Critic loss: 15.1449, Total loss: 8.5734
Episode 156/2000, Score: 270, Reward: 31.700000000000003, Avg: 111.5, Actor loss: 3.0474, Critic loss: 44.1528, Total loss: 47.2002
Episode 157/2000, Score: 180, Reward: 18.69999999999998, Avg: 114.5, Actor loss: 0.7388, Critic loss: 2.8981, Total loss: 3.6370
Episode 158/2000, Score: 140, Reward: 12.899999999999991, Avg: 114.5, Actor loss: -1.7735, Critic loss: 9.5854, Total loss: 7.8119
Episode 159/2000, Score: 30, Reward: -2.2499999999999996, Avg: 108.5, Actor loss: -5.2096, Critic loss: 11.1411, Total loss: 5.9314
Episode 160/2000, Score: 90, Reward: 7.549999999999997, Avg: 103.5, Actor loss: -6.4783, Critic loss: 8.7206, Total loss: 2.2424
Episode 161/2000, Score: 30, Reward: -2.4499999999999993, Avg: 96.0, Actor loss: -4.6553, Critic loss: 9.3591, Total loss: 4.7038
Episode 162/2000, Score: 60, Reward: 1.150000000000003, Avg: 92.0, Actor loss: -1.3492, Critic loss: 7.3022, Total loss: 5.9530
Episode 163/2000, Score: 60, Reward: 2.000000000000001, Avg: 85.0, Actor loss: -1.2866, Critic loss: 1.6481, Total loss: 0.3615
Episode 164/2000, Score: 80, Reward: 6.4499999999999975, Avg: 87.5, Actor loss: 0.4578, Critic loss: 4.7986, Total loss: 5.2564
Episode 165/2000, Score: 30, Reward: -2.9499999999999993, Avg: 87.0, Actor loss: -4.5936, Critic loss: 14.2503, Total loss: 9.6566
Episode 166/2000, Score: 300, Reward: 37.150000000000034, Avg: 100.5, Actor loss: -3.9397, Critic loss: 8.6938, Total loss: 4.7541
Episode 167/2000, Score: 70, Reward: 3.1500000000000004, Avg: 100.0, Actor loss: -5.6511, Critic loss: 12.2241, Total loss: 6.5730
Episode 168/2000, Score: 100, Reward: 6.849999999999994, Avg: 101.5, Actor loss: -4.2650, Critic loss: 5.6658, Total loss: 1.4008
Episode 169/2000, Score: 30, Reward: -2.2, Avg: 101.0, Actor loss: -5.9448, Critic loss: 9.9845, Total loss: 4.0396
Episode 170/2000, Score: 150, Reward: 14.349999999999994, Avg: 99.5, Actor loss: -8.0585, Critic loss: 10.6462, Total loss: 2.5878
Episode 171/2000, Score: 30, Reward: -0.9999999999999991, Avg: 93.5, Actor loss: -6.0884, Critic loss: 8.1126, Total loss: 2.0241
Episode 172/2000, Score: 340, Reward: 41.30000000000001, Avg: 108.5, Actor loss: -1.3344, Critic loss: 5.9840, Total loss: 4.6496
