episode,total_reward,steps,epsilon,won,progress_cells
236,-25.7,111,0.1219,0,6
237,-34.18,59,0.1213,0,4
238,-29.47,68,0.1207,0,6
239,-27.53,34,0.1201,0,5
240,-31.24,25,0.1195,0,4
241,-25.08,9,0.1189,0,5
242,-27.2,61,0.1183,0,5
243,-30.26,7,0.1177,0,5
244,-19.18,99,0.1171,0,7
245,-11.6,41,0.1166,0,8
246,10.69,91,0.116,0,5
247,-20.64,25,0.1154,0,6
248,-33.47,48,0.1148,0,4
249,-35.06,7,0.1142,0,3
250,-36.61,22,0.1137,0,3
251,-40.03,4,0.1131,0,3
252,-1.79,99,0.1125,0,3
253,-5.9,90,0.112,0,2
254,3.59,121,0.1114,0,4
255,-28.29,50,0.1109,0,5
256,3.95,85,0.1103,0,4
257,-32.28,49,0.1098,0,4
258,-29.06,87,0.1092,0,5
259,-40.58,19,0.1087,0,3
260,-31.23,24,0.1081,0,4
261,-38.37,118,0.1076,0,4
262,-4.22,82,0.107,0,2
263,-1.04,84,0.1065,0,3
264,-30.83,24,0.106,0,5
265,-22.55,56,0.1054,0,6
266,-17.54,115,0.1049,0,8
267,6.42,98,0.1044,0,5
268,-42.56,97,0.1039,0,3
269,8.1,90,0.1033,0,5
270,-40.02,3,0.1028,0,3
271,-25.78,19,0.1023,0,6
272,-29.35,96,0.1018,0,5
273,-18.23,44,0.1013,0,7
274,-27.77,58,0.1008,0,5
275,-25.61,22,0.1003,0,5
276,-25.58,19,0.0998,0,6
277,-10.75,36,0.0993,0,8
278,-36.24,85,0.0988,0,4
279,-26.95,36,0.0983,0,5
280,-29.51,52,0.0978,0,5
281,-36.89,90,0.0973,0,4
282,-39.64,85,0.0968,0,3
283,-26.09,50,0.0963,0,5
284,-38.58,99,0.0959,0,3
285,-3.3,90,0.0954,0,3
286,-22.16,37,0.0949,0,7
287,-30.04,5,0.0944,0,5
288,-27.07,88,0.094,0,6
289,-34.17,78,0.0935,0,4
290,6.52,88,0.093,0,4
291,-8.42,82,0.0926,0,2
292,-29.74,55,0.0921,0,5
293,-2.47,87,0.0916,0,3
294,-7.59,139,0.0912,0,3
