[SAVE] New best avg score: 100.00
Episode 74/50000, Score: 30, Reward: -3.700000000000001, Avg: 37.5, Actor loss: -3.3909, Critic loss: 9.9068, Total loss: 1.5624
Episode 75/50000, Score: 40, Reward: -3.5999999999999917, Avg: 38.333333333333336, Actor loss: -12.4766, Critic loss: 119.6812, Total loss: 47.3640
Episode 76/50000, Score: 70, Reward: 6.399999999999999, Avg: 40.0, Actor loss: 6.1412, Critic loss: 58.8471, Total loss: 35.5647
Episode 77/50000, Score: 30, Reward: -11.100000000000001, Avg: 40.0, Actor loss: -13.1029, Critic loss: 76.9883, Total loss: 25.3913
Episode 78/50000, Score: 30, Reward: -6.6000000000000005, Avg: 39.166666666666664, Actor loss: -7.2065, Critic loss: 33.3394, Total loss: 9.4632
Episode 79/50000, Score: 30, Reward: -2.799999999999997, Avg: 39.166666666666664, Actor loss: -5.9131, Critic loss: 38.6887, Total loss: 13.4313
Episode 80/50000, Score: 50, Reward: 3.5000000000000107, Avg: 39.166666666666664, Actor loss: -12.7389, Critic loss: 87.8758, Total loss: 31.1990
Episode 81/50000, Score: 60, Reward: 10.5, Avg: 41.666666666666664, Actor loss: 3.2974, Critic loss: 72.0429, Total loss: 39.3188
Episode 82/50000, Score: 60, Reward: -0.09999999999999787, Avg: 42.5, Actor loss: -8.4384, Critic loss: 39.4402, Total loss: 11.2817
Episode 83/50000, Score: 80, Reward: 13.300000000000011, Avg: 45.0, Actor loss: -16.4094, Critic loss: 115.5238, Total loss: 41.3525
Episode 84/50000, Score: 30, Reward: -0.5999999999999996, Avg: 45.0, Actor loss: -3.1177, Critic loss: 16.9420, Total loss: 5.3533
Episode 85/50000, Score: 60, Reward: -14.599999999999987, Avg: 47.5, Actor loss: -11.4706, Critic loss: 68.2877, Total loss: 22.6732
Episode 86/50000, Score: 80, Reward: 10.800000000000004, Avg: 51.666666666666664, Actor loss: -8.0333, Critic loss: 51.8978, Total loss: 17.9156
Episode 87/50000, Score: 60, Reward: 14.900000000000006, Avg: 53.333333333333336, Actor loss: -3.6556, Critic loss: 100.7312, Total loss: 46.7100
Episode 88/50000, Score: 30, Reward: -0.5999999999999996, Avg: 50.0, Actor loss: -3.2564, Critic loss: 16.3111, Total loss: 4.8991
Episode 89/50000, Score: 30, Reward: -5.099999999999998, Avg: 50.0, Actor loss: -11.3143, Critic loss: 72.6931, Total loss: 25.0322
Episode 90/50000, Score: 50, Reward: 5.900000000000002, Avg: 51.666666666666664, Actor loss: -5.0822, Critic loss: 62.2366, Total loss: 26.0361
Episode 91/50000, Score: 40, Reward: -19.099999999999998, Avg: 52.5, Actor loss: -13.6894, Critic loss: 86.3510, Total loss: 29.4861
Episode 92/50000, Score: 70, Reward: -10.299999999999999, Avg: 54.166666666666664, Actor loss: -4.6494, Critic loss: 34.5144, Total loss: 12.6078
Episode 93/50000, Score: 60, Reward: 12.200000000000006, Avg: 54.166666666666664, Actor loss: 1.8193, Critic loss: 62.1915, Total loss: 32.9151
Episode 94/50000, Score: 30, Reward: 4.199999999999999, Avg: 51.666666666666664, Actor loss: 0.0111, Critic loss: 24.4093, Total loss: 12.2157
Episode 95/50000, Score: 70, Reward: 11.600000000000009, Avg: 50.833333333333336, Actor loss: -9.8049, Critic loss: 114.9414, Total loss: 47.6658
Episode 96/50000, Score: 50, Reward: 5.899999999999999, Avg: 52.5, Actor loss: 3.4285, Critic loss: 40.8977, Total loss: 23.8773
Episode 97/50000, Score: 30, Reward: -6.800000000000002, Avg: 50.0, Actor loss: -9.6106, Critic loss: 52.1288, Total loss: 16.4538
Episode 98/50000, Score: 50, Reward: -20.899999999999988, Avg: 47.5, Actor loss: -12.6515, Critic loss: 81.4664, Total loss: 28.0818
Episode 99/50000, Score: 70, Reward: 5.600000000000012, Avg: 48.333333333333336, Actor loss: -6.4409, Critic loss: 37.0920, Total loss: 12.1051
Episode 100/50000, Score: 50, Reward: 5.700000000000003, Avg: 50.0, Actor loss: -2.7547, Critic loss: 54.4506, Total loss: 24.4706
Episode 101/50000, Score: 50, Reward: 7.400000000000006, Avg: 51.666666666666664, Actor loss: -9.9331, Critic loss: 92.5330, Total loss: 36.3334
Episode 102/50000, Score: 30, Reward: 4.199999999999999, Avg: 50.0, Actor loss: -1.8134, Critic loss: 19.4747, Total loss: 7.9239
Episode 103/50000, Score: 60, Reward: -9.299999999999988, Avg: 51.666666666666664, Actor loss: -17.9130, Critic loss: 189.4359, Total loss: 76.8050
Episode 104/50000, Score: 40, Reward: 0.30000000000000426, Avg: 49.166666666666664, Actor loss: -8.4620, Critic loss: 72.1181, Total loss: 27.5970
Episode 105/50000, Score: 70, Reward: 12.100000000000016, Avg: 50.0, Actor loss: -7.4322, Critic loss: 31.9273, Total loss: 8.5314
Episode 106/50000, Score: 50, Reward: 13.8, Avg: 51.666666666666664, Actor loss: -2.1028, Critic loss: 98.2791, Total loss: 47.0367
Episode 107/50000, Score: 80, Reward: 22.200000000000003, Avg: 52.5, Actor loss: 4.8805, Critic loss: 147.5806, Total loss: 78.6708
