Episode 382/2500 - Reward: 54.30 | Score: 140 | Avg: 139.6
Episode 383/2500 - Reward: 34.55 | Score: 100 | Avg: 140.3
Episode 386/2500 - Reward: 39.45 | Score: 110 | Avg: 137.8
Episode 389/2500 - Reward: 18.60 | Score: 70 | Avg: 131.8
Episode 390/2500 - Reward: 59.30 | Score: 150 | Avg: 132.5
Episode 391/2500 - Reward: 74.15 | Score: 180 | Avg: 134.0
Episode 392/2500 - Reward: 34.55 | Score: 100 | Avg: 134.7
Episode 393/2500 - Reward: 19.70 | Score: 70 | Avg: 135.1
Episode 394/2500 - Reward: 34.55 | Score: 100 | Avg: 135.7
Episode 395/2500 - Reward: 19.70 | Score: 70 | Avg: 133.6
Episode 396/2500 - Reward: 14.75 | Score: 60 | Avg: 133.5
Episode 397/2500 - Reward: 14.75 | Score: 60 | Avg: 133.0
Episode 399/2500 - Reward: 14.75 | Score: 60 | Avg: 129.9
Episode 400/2500 - Reward: 14.75 | Score: 60 | Avg: 126.2
Episode 401/2500 - Reward: 24.65 | Score: 80 | Avg: 126.6
Episode 402/2500 - Reward: 24.65 | Score: 80 | Avg: 127.0
Episode 404/2500 - Reward: 24.65 | Score: 80 | Avg: 122.5
Episode 405/2500 - Reward: 24.65 | Score: 80 | Avg: 123.0
Episode 406/2500 - Reward: 14.75 | Score: 60 | Avg: 122.0
Episode 409/2500 - Reward: 64.25 | Score: 160 | Avg: 118.5
Episode 411/2500 - Reward: 44.45 | Score: 120 | Avg: 115.9
Episode 412/2500 - Reward: 34.55 | Score: 100 | Avg: 112.9
Episode 413/2500 - Reward: 14.75 | Score: 60 | Avg: 112.7
Episode 416/2500 - Reward: 19.70 | Score: 70 | Avg: 109.5
Episode 418/2500 - Reward: 14.75 | Score: 60 | Avg: 105.1
Episode 419/2500 - Reward: 84.05 | Score: 200 | Avg: 106.0
Episode 420/2500 - Reward: 74.15 | Score: 180 | Avg: 107.0
Episode 421/2500 - Reward: 4.85 | Score: 40 | Avg: 104.7
Episode 422/2500 - Reward: 44.45 | Score: 120 | Avg: 105.5
Episode 425/2500 - Reward: 14.75 | Score: 60 | Avg: 101.2
Episode 430/2500 - Reward: 92.90 | Score: 220 | Avg: 89.0
Episode 431/2500 - Reward: 14.75 | Score: 60 | Avg: 88.9
Episode 434/2500 - Reward: 34.55 | Score: 100 | Avg: 86.3
Episode 436/2500 - Reward: 44.45 | Score: 120 | Avg: 83.5
Episode 437/2500 - Reward: 54.35 | Score: 140 | Avg: 84.5
Episode 438/2500 - Reward: 34.55 | Score: 100 | Avg: 84.4
Episode 439/2500 - Reward: 59.30 | Score: 150 | Avg: 85.9
Episode 441/2500 - Reward: 19.70 | Score: 70 | Avg: 86.9
Episode 443/2500 - Reward: 14.75 | Score: 60 | Avg: 87.8
Episode 444/2500 - Reward: 24.65 | Score: 80 | Avg: 87.9
Episode 445/2500 - Reward: 34.55 | Score: 100 | Avg: 88.5
Episode 446/2500 - Reward: 14.75 | Score: 60 | Avg: 88.8
Episode 451/2500 - Reward: 19.70 | Score: 70 | Avg: 84.4
Episode 452/2500 - Reward: 19.70 | Score: 70 | Avg: 84.8
Episode 453/2500 - Reward: 24.65 | Score: 80 | Avg: 84.8
Episode 455/2500 - Reward: 19.70 | Score: 70 | Avg: 83.2
Episode 458/2500 - Reward: 39.50 | Score: 110 | Avg: 81.7
Episode 461/2500 - Reward: 118.70 | Score: 270 | Avg: 82.9
Episode 463/2500 - Reward: 123.65 | Score: 280 | Avg: 82.8
Episode 466/2500 - Reward: 59.25 | Score: 150 | Avg: 82.5
Episode 467/2500 - Reward: 59.30 | Score: 150 | Avg: 83.4
Episode 468/2500 - Reward: 14.75 | Score: 60 | Avg: 83.3
Episode 469/2500 - Reward: 64.25 | Score: 160 | Avg: 83.8
Episode 470/2500 - Reward: 24.65 | Score: 80 | Avg: 82.8
Episode 471/2500 - Reward: 39.50 | Score: 110 | Avg: 83.6
Episode 472/2500 - Reward: 64.25 | Score: 160 | Avg: 84.8
Episode 473/2500 - Reward: 39.50 | Score: 110 | Avg: 83.7
Episode 474/2500 - Reward: 14.75 | Score: 60 | Avg: 82.3
Episode 475/2500 - Reward: 54.35 | Score: 140 | Avg: 82.9
Episode 476/2500 - Reward: 54.35 | Score: 140 | Avg: 82.7
Episode 477/2500 - Reward: 19.70 | Score: 70 | Avg: 82.7
Episode 478/2500 - Reward: 39.50 | Score: 110 | Avg: 82.0
Episode 480/2500 - Reward: 39.50 | Score: 110 | Avg: 80.6
Episode 481/2500 - Reward: 19.70 | Score: 70 | Avg: 79.8
Episode 482/2500 - Reward: 14.75 | Score: 60 | Avg: 79.0
Episode 483/2500 - Reward: 24.65 | Score: 80 | Avg: 78.8
Episode 485/2500 - Reward: 14.75 | Score: 60 | Avg: 79.0
Episode 487/2500 - Reward: 59.30 | Score: 150 | Avg: 79.5
Episode 488/2500 - Reward: 14.75 | Score: 60 | Avg: 79.8
Episode 491/2500 - Reward: -0.10 | Score: 30 | Avg: 76.7
Episode 492/2500 - Reward: 59.30 | Score: 150 | Avg: 77.2
Episode 493/2500 - Reward: 84.05 | Score: 200 | Avg: 78.5
Episode 494/2500 - Reward: 44.40 | Score: 120 | Avg: 78.7
