Episode 336/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 337/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 338/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 339/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 340/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 341/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 342/2500 - Reward: 287.15 | Score: 490 | Avg: 480.5
Episode 343/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 344/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 345/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 346/2500 - Reward: 287.15 | Score: 490 | Avg: 481.1
Episode 347/2500 - Reward: 287.15 | Score: 490 | Avg: 481.1
Episode 348/2500 - Reward: 287.15 | Score: 490 | Avg: 481.1
Episode 349/2500 - Reward: 212.30 | Score: 460 | Avg: 480.8
Episode 350/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 351/2500 - Reward: 287.10 | Score: 490 | Avg: 480.8
Episode 352/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 353/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 354/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 355/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 356/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 357/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 358/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 359/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 360/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 361/2500 - Reward: 287.15 | Score: 490 | Avg: 480.8
Episode 362/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
Episode 363/2500 - Reward: 287.15 | Score: 490 | Avg: 481.9
