episode,total_reward,epsilon
483,-159.35,0.02
484,-115.47,0.02
485,-161.27,0.02
486,-139.71,0.02
487,-261.72,0.02
488,-2251.96,0.02
489,-102.58,0.02
490,-115.54,0.02
491,-124.83,0.02
492,-107.44,0.02
493,-2706.62,0.02
494,-4496.59,0.02
495,-7092.01,0.02
496,-212.66,0.02
497,-127.28,0.02
498,-4807.16,0.02
499,-8520.87,0.02
500,-306.72,0.02
501,-13385.39,0.02
502,-238.55,0.02
503,-1467.68,0.02
504,-170.19,0.02
505,-4712.16,0.02
506,-221.53,0.02
507,-5249.3,0.02
508,-349.86,0.02
509,-316.71,0.02
510,-1397.42,0.02
511,-246.12,0.02
512,-189.43,0.02
513,-100.19,0.02
514,-207.85,0.02
515,-10359.17,0.02
516,-4777.33,0.02
517,-222.34,0.02
518,-2568.4,0.02
519,-17830.96,0.02
520,-2671.84,0.02
521,-4765.6,0.02
522,-347.1,0.02
523,-2552.49,0.02
524,-2135.38,0.02
525,-2577.88,0.02
526,-335.78,0.02
527,-6162.56,0.02
528,-5811.9,0.02
529,-3805.84,0.02
530,-100.96,0.02
531,-190.87,0.02
532,-5633.86,0.02
533,-191.54,0.02
534,-198.36,0.02
535,-4797.74,0.02
536,-2586.16,0.02
537,-109.42,0.02
538,-7947.07,0.02
539,-153.83,0.02
540,-169.34,0.02
541,-2590.12,0.02
542,-3278.62,0.02
543,-160.23,0.02
544,-170.35,0.02
545,-4027.68,0.02
546,-13217.42,0.02
547,-349.36,0.02
548,-131.66,0.02
549,-253.53,0.02
550,-154.29,0.02
551,-163.1,0.02
552,-132.74,0.02
553,-184.69,0.02
554,-145.43,0.02
555,-168.51,0.02
556,-126.39,0.02
557,-117.6,0.02
558,-211.65,0.02
559,-134.15,0.02
560,-133.9,0.02
561,-173.64,0.02
562,-118.85,0.02
563,-130.06,0.02
564,-212.64,0.02
565,-9585.7,0.02
566,-2530.64,0.02
567,-141.14,0.02
568,-117.45,0.02
569,-129.27,0.02
570,-127.03,0.02
571,-122.76,0.02
572,-247.96,0.02
573,-135.99,0.02
574,-107.8,0.02
575,-98.93,0.02
576,-100.96,0.02
577,-143.07,0.02
578,-142.56,0.02
579,-115.4,0.02
580,-133.13,0.02
581,-8465.28,0.02
582,-141.27,0.02
583,-118.19,0.02
584,-135.76,0.02
585,-110.85,0.02
586,-118.59,0.02
587,-7601.98,0.02
588,-285.26,0.02
589,-1216.05,0.02
590,-228.53,0.02
591,-158.53,0.02
592,-191.27,0.02
593,-25331.32,0.02
594,-177.33,0.02
595,-6795.82,0.02
596,-3271.83,0.02
597,-6372.59,0.02
598,-229.37,0.02
599,-3361.41,0.02
600,-123.24,0.02
601,-5690.52,0.02
602,-1995.12,0.02
603,-191.02,0.02
604,-4833.47,0.02
605,-141.55,0.02
606,-204.48,0.02
607,-17019.56,0.02
608,-190.79,0.02
609,-134.36,0.02
610,-4970.27,0.02
611,-1682.15,0.02
612,-1262.81,0.02
613,-2834.87,0.02
614,-135.67,0.02
615,-7148.85,0.02
616,-304.45,0.02
617,-147.17,0.02
618,-4054.81,0.02
619,-1142.23,0.02
620,-159.83,0.02
621,-227.55,0.02
622,-9150.91,0.02
623,-149.18,0.02
624,-206.13,0.02
625,-177.15,0.02
626,-7212.01,0.02
627,-3006.82,0.02
628,-5021.51,0.02
629,-5072.01,0.02
630,-179.47,0.02
631,-309.74,0.02
632,-3209.55,0.02
633,-393.04,0.02
634,-179.57,0.02
635,-3987.8,0.02
636,-112.62,0.02
637,-195.97,0.02
638,-2632.41,0.02
639,-4776.23,0.02
640,-208.72,0.02
641,-4745.29,0.02
642,-164.05,0.02
643,-8534.49,0.02
644,-362.9,0.02
645,-182.53,0.02
646,-292.09,0.02
647,-97.3,0.02
648,-99.5,0.02
649,-124.56,0.02
650,-175.79,0.02
651,-150.77,0.02
652,-205.51,0.02
653,-175.16,0.02
654,-16035.35,0.02
655,-176.79,0.02
656,-113.67,0.02
657,-138.29,0.02
658,-143.92,0.02
659,-144.32,0.02
660,-141.15,0.02
661,-176.2,0.02
662,-132.05,0.02
663,-7248.68,0.02
664,-102.94,0.02
665,-272.87,0.02
666,-612.23,0.02
667,-108.69,0.02
668,-111.68,0.02
669,-118.06,0.02
670,-102.52,0.02
671,-122.85,0.02
672,-111.2,0.02
673,-162.27,0.02
674,-103.69,0.02
675,-120.92,0.02
676,-154.22,0.02
677,-2566.58,0.02
678,-2535.37,0.02
679,-107.48,0.02
680,-163.61,0.02
681,-182.33,0.02
682,-135.06,0.02
683,-171.76,0.02
684,-110.64,0.02
685,-136.96,0.02
686,-121.49,0.02
687,-136.17,0.02
688,-14302.18,0.02
689,-139.93,0.02
690,-174.46,0.02
691,-102.35,0.02
692,-148.28,0.02
693,-168.04,0.02
694,-105.77,0.02
695,-146.26,0.02
696,-191.9,0.02
697,-111.62,0.02
698,-123.09,0.02
699,-132.32,0.02
700,-114.73,0.02
701,-122.99,0.02
702,-899.59,0.02
703,-4909.96,0.02
704,-114.07,0.02
705,-126.88,0.02
706,-9230.71,0.02
707,-155.18,0.02
708,-154.6,0.02
709,-3615.27,0.02
710,-160.32,0.02
711,-109.83,0.02
712,-109.03,0.02
713,-139.14,0.02
714,-183.81,0.02
715,-137.51,0.02
716,-121.49,0.02
717,-139.49,0.02
718,-114.47,0.02
719,-5943.0,0.02
720,-142.76,0.02
721,-100.24,0.02
722,-115.66,0.02
723,-103.32,0.02
724,-130.18,0.02
725,-112.6,0.02
726,-111.56,0.02
727,-116.81,0.02
728,-198.84,0.02
729,-1082.45,0.02
730,-6375.74,0.02
731,-124.65,0.02
732,-134.65,0.02
733,-192.09,0.02
734,-2813.51,0.02
735,-2563.75,0.02
736,-3806.08,0.02
737,-11073.62,0.02
738,-10315.96,0.02
739,-1549.91,0.02
740,-260.45,0.02
741,-2417.29,0.02
742,-184.4,0.02
743,-156.53,0.02
744,-118.47,0.02
745,-2612.21,0.02
746,-4240.14,0.02
747,-2578.37,0.02
748,-2712.17,0.02
749,-165.72,0.02
750,-174.27,0.02
751,-166.53,0.02
752,-5769.92,0.02
753,-119.32,0.02
754,-6250.42,0.02
755,-147.55,0.02
756,-1349.72,0.02
757,-3704.98,0.02
758,-146.75,0.02
759,-110.0,0.02
760,-3552.26,0.02
761,-4484.79,0.02
762,-2563.12,0.02
763,-2518.02,0.02
764,-6233.87,0.02
765,-196.83,0.02
766,-9851.89,0.02
767,-139.59,0.02
768,-242.26,0.02
769,-158.9,0.02
770,-8902.76,0.02
771,-116.37,0.02
772,-265.31,0.02
773,-254.03,0.02
774,-215.59,0.02
775,-15299.78,0.02
776,-154.69,0.02
777,-127.14,0.02
778,-176.39,0.02
779,-231.01,0.02
780,-217.23,0.02
781,-168.04,0.02
782,-176.84,0.02
783,-2612.28,0.02
784,-3091.37,0.02
785,-205.16,0.02
786,-5503.85,0.02
787,-24381.98,0.02
788,-245.11,0.02
789,-4201.96,0.02
790,-101.75,0.02
791,-197.37,0.02
792,-6700.11,0.02
793,-151.51,0.02
794,-115.55,0.02
795,-270.82,0.02
796,-2582.04,0.02
797,-15931.34,0.02
798,-147.44,0.02
799,-286.78,0.02
800,-203.46,0.02
801,-14842.65,0.02
802,-211.6,0.02
803,-289.69,0.02
804,-116.08,0.02
805,-133.11,0.02
806,-21347.69,0.02
807,-229.1,0.02
808,-2616.19,0.02
809,-8398.98,0.02
810,-225.09,0.02
811,-3960.61,0.02
812,-186.61,0.02
813,-244.03,0.02
814,-125.42,0.02
815,-148.0,0.02
816,-182.91,0.02
817,-104.91,0.02
818,-167.11,0.02
819,-231.08,0.02
820,-152.52,0.02
821,-128.88,0.02
822,-109.69,0.02
823,-116.46,0.02
824,-255.74,0.02
825,-8578.65,0.02
826,-309.76,0.02
827,-144.41,0.02
828,-122.13,0.02
829,-124.5,0.02
830,-135.62,0.02
831,-165.41,0.02
832,-182.2,0.02
833,-126.05,0.02
834,-133.74,0.02
835,-102.57,0.02
836,-20799.26,0.02
837,-2513.43,0.02
838,-144.94,0.02
839,-3743.07,0.02
840,-2585.13,0.02
841,-200.08,0.02
842,-234.99,0.02
843,-267.32,0.02
844,-3153.56,0.02
845,-201.77,0.02
846,-173.55,0.02
847,-2573.7,0.02
848,-265.78,0.02
849,-329.83,0.02
850,-2510.21,0.02
851,-2482.71,0.02
852,-6614.23,0.02
853,-112.09,0.02
854,-223.38,0.02
855,-12908.71,0.02
856,-163.78,0.02
857,-2438.47,0.02
858,-120.65,0.02
859,-176.82,0.02
860,-204.09,0.02
861,-290.12,0.02
862,-133.71,0.02
863,-185.55,0.02
864,-2593.88,0.02
865,-5006.74,0.02
866,-206.31,0.02
867,-3090.38,0.02
868,-4058.94,0.02
869,-2571.15,0.02
870,-176.26,0.02
871,-14576.68,0.02
872,-7796.3,0.02
873,-8557.05,0.02
874,-169.31,0.02
875,-11542.03,0.02
876,-195.46,0.02
877,-2643.44,0.02
878,-5372.95,0.02
879,-208.65,0.02
880,-129.48,0.02
881,-2557.79,0.02
882,-2626.98,0.02
883,-194.68,0.02
884,-141.95,0.02
885,-2562.11,0.02
886,-309.96,0.02
887,-845.94,0.02
888,-154.49,0.02
889,-140.55,0.02
890,-254.15,0.02
891,-147.45,0.02
892,-14834.86,0.02
893,-147.52,0.02
894,-4801.07,0.02
895,-203.34,0.02
896,-4652.97,0.02
897,-146.39,0.02
898,-171.61,0.02
899,-156.09,0.02
900,-147.39,0.02
901,-143.21,0.02
902,-5726.28,0.02
903,-130.47,0.02
904,-221.39,0.02
905,-275.0,0.02
906,-3106.12,0.02
907,-127.22,0.02
908,-6123.43,0.02
909,-181.78,0.02
910,-164.39,0.02
911,-113.37,0.02
912,-164.69,0.02
913,-105.3,0.02
914,-153.06,0.02
915,-156.47,0.02
916,-177.08,0.02
917,-168.54,0.02
918,-149.35,0.02
919,-165.07,0.02
920,-2596.72,0.02
921,-189.77,0.02
922,-4326.67,0.02
923,-10775.6,0.02
924,-195.96,0.02
925,-257.51,0.02
926,-4471.98,0.02
927,-194.8,0.02
928,-125.21,0.02
929,-2611.42,0.02
930,-267.53,0.02
931,-114.5,0.02
932,-2698.92,0.02
933,-107.0,0.02
934,-5545.69,0.02
935,-182.87,0.02
936,-131.13,0.02
937,-201.95,0.02
938,-137.94,0.02
939,-6898.82,0.02
940,-252.71,0.02
941,-193.94,0.02
942,-10873.72,0.02
943,-250.3,0.02
944,-129.06,0.02
