episode,score,ep_reward,steps,epsilon,alpha,won,avg_score_100
216,60,-2.075,18,0.8972,0.2342,0,51.4
217,30,-2.625,18,0.8967,0.2342,0,51.3
218,30,-2.15,8,0.8963,0.2341,0,51.1
219,30,-2.15,8,0.8958,0.234,0,51.1
220,30,-2.3,18,0.8954,0.234,0,51.1
221,50,-4.25,64,0.8949,0.2339,0,51.0
222,40,-3.0,30,0.8945,0.2338,0,50.8
223,30,-2.6,17,0.894,0.2337,0,50.6
224,30,-3.575,41,0.8936,0.2337,0,50.6
225,30,-1.8,8,0.8931,0.2336,0,50.6
226,60,-3.025,44,0.8927,0.2335,0,50.8
227,30,-3.175,30,0.8922,0.2335,0,50.6
228,30,-2.625,19,0.8918,0.2334,0,49.6
229,50,-1.975,20,0.8913,0.2333,0,49.5
230,30,-2.55,17,0.8909,0.2333,0,49.3
231,30,-1.6,4,0.8904,0.2332,0,49.0
232,80,-4.45,94,0.89,0.2331,0,49.3
233,50,-3.025,34,0.8896,0.233,0,49.3
234,30,-1.9,3,0.8891,0.233,0,49.3
235,70,-2.3,45,0.8887,0.2329,0,49.0
236,30,-2.85,23,0.8882,0.2328,0,48.8
237,50,-3.2,47,0.8878,0.2328,0,48.7
238,30,-2.3,12,0.8873,0.2327,0,48.4
239,40,-3.35,50,0.8869,0.2326,0,48.5
240,30,-2.2,9,0.8865,0.2326,0,48.5
241,80,-2.525,54,0.886,0.2325,0,48.6
242,40,-2.9,25,0.8856,0.2324,0,48.7
243,50,-3.075,39,0.8851,0.2324,0,48.9
244,50,-2.1,11,0.8847,0.2323,0,49.1
245,30,-2.3,11,0.8842,0.2322,0,49.1
246,30,-2.2,9,0.8838,0.2321,0,48.8
247,50,-1.775,15,0.8834,0.2321,0,48.8
248,30,-2.275,13,0.8829,0.232,0,48.8
249,50,-2.45,31,0.8825,0.2319,0,48.1
250,90,-2.525,48,0.882,0.2319,0,48.5
251,40,-2.225,14,0.8816,0.2318,0,48.4
252,30,-3.15,31,0.8811,0.2317,0,48.4
253,50,-3.75,59,0.8807,0.2317,0,48.4
254,50,-2.7,24,0.8803,0.2316,0,48.5
255,120,-1.5,48,0.8798,0.2315,0,49.3
